roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,341.0,-1.9070385396299347,0.08888181005640346,0.2617571141600156,False,-2.635291098938187
Frontal ROI,342.0,-1.9210112008011375,0.0869155901055997,0.2617571141600156,False,-2.694559817291035
Frontal ROI,343.0,-1.9345525210421173,0.08504934045573569,0.2617571141600156,False,-2.7514161826749204
Frontal ROI,344.0,-1.9507481728533762,0.08286708641383073,0.2617571141600156,False,-2.811801493984308
Frontal ROI,345.0,-1.9713645640942346,0.08016595619984981,0.2613783037027661,False,-2.8808623481231024
Frontal ROI,346.0,-1.9966569688000346,0.07696649380578106,0.2569214864659644,False,-2.9617912204843995
Frontal ROI,347.0,-2.0256221703924284,0.07345207093408283,0.25117025231605883,False,-3.0551286992955253
Frontal ROI,348.0,-2.0565793629249813,0.06986593071688821,0.24734830217295375,False,-3.1586200384773813
Frontal ROI,349.0,-2.0878531984506115,0.0664141652039525,0.24091600604168764,False,-3.267640421094886
Frontal ROI,350.0,-2.1182751494721983,0.06321446790048131,0.2332369234056449,False,-3.376145067192089
Frontal ROI,351.0,-2.147306315665357,0.060300341760460015,0.23096122118237838,False,-3.4780103516714442
Frontal ROI,352.0,-2.174790661140953,0.05766178513684957,0.22881861317352922,False,-3.5684952537170815
Frontal ROI,353.0,-2.2005273044252847,0.05529300508232177,0.22535114280643928,False,-3.645430893967265
Frontal ROI,354.0,-2.2238980539448967,0.05322433875320082,0.22371671498349943,False,-3.709734317366382
Frontal ROI,355.0,-2.24373229821201,0.05152817435120604,0.22371671498349943,False,-3.7650242719449216
Frontal ROI,356.0,-2.258504430368275,0.05029938906743733,0.22371671498349943,False,-3.816426863912112
Frontal ROI,357.0,-2.266831177860078,0.0496194505279665,0.22371671498349943,False,-3.8689617199881687
Frontal ROI,358.0,-2.2680731199577453,0.0495188125156631,0.22371671498349943,False,-3.9260329263052705
Frontal ROI,359.0,-2.2627417142030515,0.049952250813258124,0.22371671498349943,False,-3.988485445449913
Frontal ROI,360.0,-2.2524994155322164,0.05079540069808821,0.22371671498349943,False,-4.054472677485232
Frontal ROI,361.0,-2.2397702865568627,0.051862712703358266,0.22371671498349943,False,-4.120112458722565
Frontal ROI,362.0,-2.2271597136907895,0.05294170907083835,0.22371671498349943,False,-4.180679333061368
Frontal ROI,363.0,-2.216906679206214,0.053835130700458624,0.22371671498349943,False,-4.231959332368854
Frontal ROI,364.0,-2.210508800012589,0.05440006596016403,0.22371671498349943,False,-4.271391102625998
Frontal ROI,365.0,-2.208565121977252,0.05457283632265108,0.22371671498349943,False,-4.298720944626008
Frontal ROI,366.0,-2.2108206735559714,0.05437239376133443,0.22371671498349943,False,-4.316052732017908
Frontal ROI,367.0,-2.2163692934001062,0.053882360933168366,0.22371671498349943,False,-4.327337492866213
Frontal ROI,368.0,-2.223957740091393,0.05321915360577135,0.22371671498349943,False,-4.3374772457978015
